Date	Hour	S1	S2	S3	S4	S5	S6	S7
00/00/0000	8	95	95	95	95	95	95	95
01/08/2020	10	72	72	71	72	70	71	73
01/08/2020	11	72	72	71	72	70	71	73
01/08/2020	12	72	72	71	72	71	72	73
01/08/2020	13	72	72	70	72	72	72	73
01/08/2020	14	72	72	71	72	74	72	74
01/08/2020	15	72	73	71	72	75	72	74
01/08/2020	16	72	73	72	72	75	72	74
01/08/2020	17	72	72	72	72	74	72	73
01/08/2020	18	72	73	72	72	74	72	73
01/08/2020	19	72	73	72	72	72	72	73
01/08/2020	20	72	73	71	72	71	72	73
01/08/2020	21	72	72	71	72	71	72	73
01/08/2020	22	72	72	70	72	71	72	73
01/08/2020	23	72	72	70	72	71	72	73
01/09/2020	 0	72	72	70	72	71	72	73
01/09/2020	 1	72	72	71	72	71	72	73
01/09/2020	 2	72	72	71	72	71	72	73
01/09/2020	 3	72	72	71	72	71	72	74
01/09/2020	 4	72	72	72	72	71	72	74
01/09/2020	 5	72	72	72	72	71	72	77
01/09/2020	 6	72	72	73	72	71	72	81
01/09/2020	 7	72	72	73	72	71	72	83
01/09/2020	 8	73	72	73	72	70	72	84
01/09/2020	 9	72	72	71	72	70	71	84
01/09/2020	10	72	72	75	72	69	71	84
01/09/2020	11	72	72	72	73	71	71	82
01/09/2020	12	73	72	72	73	72	71	84
01/09/2020	13	73	72	72	73	73	71	85
01/09/2020	14	72	72	72	73	80	71	87
01/09/2020	15	72	72	71	73	76	71	94
01/09/2020	16	72	72	71	73	76	71	98
01/09/2020	17	72	72	71	73	76	71	100
01/09/2020	18	72	72	71	72	76	71	101
01/09/2020	19	72	73	71	73	77	71	102
01/09/2020	20	72	72	71	73	74	71	102
01/09/2020	21	72	72	71	73	71	71	102
01/09/2020	22	72	72	71	73	70	71	102
01/09/2020	23	72	72	71	72	70	71	102
01/10/2020	 0	72	72	71	72	70	71	102
01/10/2020	 1	72	72	72	73	69	71	102
01/10/2020	 2	72	72	72	73	69	71	103
01/10/2020	 3	72	72	72	73	70	71	103
01/10/2020	 4	72	72	72	73	70	71	103
01/10/2020	 5	72	72	72	73	70	71	103
01/10/2020	 6	72	73	72	73	70	71	103
01/10/2020	 7	72	73	72	73	70	71	103
01/10/2020	 8	72	72	71	73	80	71	85
01/10/2020	 9	73	72	71	73	72	71	73
01/10/2020	10	73	72	71	73	69	71	69
01/10/2020	11	72	72	71	73	69	71	67
01/10/2020	12	72	72	70	73	70	71	82
01/10/2020	13	72	72	70	73	70	71	71
01/10/2020	14	72	72	70	73	70	71	68
01/10/2020	15	72	72	70	73	69	71	66
01/10/2020	16	72	72	70	73	69	71	65
